Country,Cumulative Cases,Date,Local Trans,No Recovered,No_Deaths,,,,,,,
Germany,1,2003/17/3,None*,0,0,,,,,,,
Canada,8,2003/17/3,Yes,0,2,,,,,,,
Singapore,20,2003/17/3,Yes,0,0,,,,,,,
Hong Kong Special Administrative Region of China,95,2003/17/3,Yes,0,1,,,,,,,
Switzerland,2,2003/17/3,To be determined,0,0,,,,,,,
Thailand,1,2003/17/3,None*,0,0,,,,,,,
Viet Nam,40,2003/17/3,Yes,0,1,,,,,,,
Total,167,2003/17/3,,0,4,,,,,,,
Germany,2,2003/18/3,None*,0,0,,,,,,,
Canada,8,2003/18/3,Yes,0,2,,,,,,,
Singapore,23,2003/18/3,Yes,0,0,,,,,,,
Hong Kong Special Administrative Region of China,123,2003/18/3,Yes,0,1,,,,,,,
"Taiwan, China",3,2003/18/3,Yes,0,0,,,,,,,
Thailand,1,2003/18/3,None*,0,0,,,,,,,
Viet Nam,57,2003/18/3,Yes,0,1,,,,,,,
Slovenia,1,2003/18/3,None*,0,0,,,,,,,
United Kingdom,1,2003/18/3,None*,0,0,,,,,,,
Total,219,2003/18/3,,0,4,,,,,,,
Canada,8,2003_19_03,Yes,0,2,,,,,,,
Germany,1,2003_19_03,None*,0,0,,,,,,,
Hong Kong Special Administrative Region of China,150,2003_19_03,Yes,0,5,,,,,,,
Singapore,31,2003_19_03,Yes,0,0,,,,,,,
Slovenia,1,2003_19_03,None*,0,0,,,,,,,
Spain,1,2003_19_03,To be determined,0,0,,,,,,,
"Taiwan, China",3,2003_19_03,Yes,0,0,,,,,,,
Thailand,1,2003_19_03,None*,0,0,,,,,,,
United Kingdom,1,2003_19_03,None*,0,0,,,,,,,
United States,11,2003_19_03,To be determined,0,0,,,,,,,
Viet Nam,56,2003_19_03,Yes,0,2,,,,,,,
Total,264,2003_19_03,,0,9,,,,,,,
Canada,9,2003_03_20,Yes,0,2,,,,,,,
Germany,1,2003_03_20,None*,0,0,,,,,,,
Hong Kong Special Administrative Region of China,173,2003_03_20,Yes,0,6,,,,,,,
Singapore,34,2003_03_20,Yes,0,0,,,,,,,
Slovenia,1,2003_03_20,None*,0,0,,,,,,,
Spain,1,2003_03_20,To be determined,0,0,,,,,,,
Switzerland,7,2003_03_20,To be determined,0,0,,,,,,,
"Taiwan, China",4,2003_03_20,Yes,0,0,,,,,,,
Thailand,1,2003_03_20,None*,0,0,,,,,,,
United Kingdom,2,2003_03_20,To be determined,0,0,,,,,,,
United States,11,2003_03_20,To be determined,0,0,,,,,,,
Viet Nam,62,2003_03_20,Yes,0,2,,,,,,,
Total,306,2003_03_20,,0,10,,,,,,,
Canada,9,2003_03_21,Yes,0,2,,,,,,,
Germany,1,2003_03_21,None*,0,0,,,,,,,
Hong Kong Special Administrative Region of China,203,2003_03_21,Yes,0,6,,,,,,,
Italy,1,2003_03_21,None*,0,0,,,,,,,
Republic of Ireland,1,2003_03_21,None*,0,0,,,,,,,
Singapore,39,2003_03_21,Yes,0,0,,,,,,,
Slovenia,1,2003_03_21,None*,0,0,,,,,,,
Spain,1,2003_03_21,None*,0,0,,,,,,,
Switzerland,7,2003_03_21,To be determined,0,0,,,,,,,
"Taiwan, China",6,2003_03_21,Yes,0,0,,,,,,,
Thailand,4,2003_03_21,To be determined,0,0,,,,,,,
United Kingdom,2,2003_03_21,None*,0,0,,,,,,,
United States,13,2003_03_21,To be determined,0,0,,,,,,,
Viet Nam,62,2003_03_21,Yes,0,2,,,,,,,
Total,350,2003_03_21,,0,10,,,,,,,
Canada,9,2003_03_22,Yes,0,2,,,,,,,
Germany,2,2003_03_22,None*,0,0,,,,,,,
Hong Kong Special Administrative Region of China,222,2003_03_22,Yes,0,7,,,,,,,
Italy,2,2003_03_22,None*,0,0,,,,,,,
Republic of Ireland,1,2003_03_22,None*,0,0,,,,,,,
Singapore,44,2003_03_22,Yes,0,0,,,,,,,
Slovenia,1,2003_03_22,None*,0,0,,,,,,,
Spain,1,2003_03_22,None*,0,0,,,,,,,
Switzerland,7,2003_03_22,To be determined,0,0,,,,,,,
"Taiwan, China",6,2003_03_22,Yes,0,0,,,,,,,
Thailand,4,2003_03_22,None*,0,0,,,,,,,
United Kingdom,2,2003_03_22,None*,0,0,,,,,,,
United States,22,2003_03_22,To be determined,0,0,,,,,,,
Viet Nam,63,2003_03_22,Yes,0,2,,,,,,,
Total,386,2003_03_22,,0,11,,,,,,,
Canada,11,2003_03_24,Yes,0,3,,,,,,,
France,1,2003_03_24,None,0,0,,,,,,,
Germany,4,2003_03_24,None,0,0,,,,,,,
Hong Kong Special Administrative Region of China,260,2003_03_24,Yes,0,10,,,,,,,
Italy,2,2003_03_24,None,0,0,,,,,,,
Republic of Ireland,1,2003_03_24,None,0,0,,,,,,,
Singapore,65,2003_03_24,Yes,0,0,,,,,,,
Spain,1,2003_03_24,None,0,0,,,,,,,
Switzerland,2,2003_03_24,To be determined,0,0,,,,,,,
"Taiwan, China",6,2003_03_24,Yes,0,0,,,,,,,
Thailand,5,2003_03_24,None,0,0,,,,,,,
United Kingdom,3,2003_03_24,None,0,0,,,,,,,
United States,37,2003_03_24,To be determined,0,0,,,,,,,
Viet Nam,58,2003_03_24,Yes,0,4,,,,,,,
Total,456,2003_03_24,,0,17,,,,,,,
Canada,11,2003_03_25,Yes,0,3,,,,,,,
France,1,2003_03_25,None,0,0,,,,,,,
Germany,4,2003_03_25,None,0,0,,,,,,,
Hong Kong Special Administrative Region of China,286,2003_03_25,Yes,0,10,,,,,,,
Italy,2,2003_03_25,None,0,0,,,,,,,
Republic of Ireland,1,2003_03_25,None,0,0,,,,,,,
Singapore,69,2003_03_25,Yes,0,0,,,,,,,
Switzerland,2,2003_03_25,To be determined,0,0,,,,,,,
"Taiwan, China",6,2003_03_25,Yes,0,0,,,,,,,
Thailand,5,2003_03_25,None,0,0,,,,,,,
United Kingdom,3,2003_03_25,None,0,0,,,,,,,
United States,39,2003_03_25,To be determined,0,0,,,,,,,
Viet Nam,58,2003_03_25,Yes,0,4,,,,,,,
