Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
Germany,1,2003-03-17,0,0,,,,,
Canada,8,2003-03-17,0,2,,,,,
Singapore,20,2003-03-17,0,0,,,,,
Hong Kong Special Administrative Region of China,95,2003-03-17,0,1,,,,,
Switzerland,2,2003-03-17,0,0,,,,,
Thailand,1,2003-03-17,0,0,,,,,
Viet Nam,40,2003-03-17,0,1,,,,,
Total,167,2003-03-17,0,4,,,,,
Germany,2,2003-03-18,0,0,,,,,
Canada,8,2003-03-18,0,2,,,,,
Singapore,23,2003-03-18,0,0,,,,,
Hong Kong Special Administrative Region of China,123,2003-03-18,0,1,,,,,
"Taiwan, China",3,2003-03-18,0,0,,,,,
Thailand,1,2003-03-18,0,0,,,,,
Viet Nam,57,2003-03-18,0,1,,,,,
Slovenia,1,2003-03-18,0,0,,,,,
United Kingdom,1,2003-03-18,0,0,,,,,
Total,219,2003-03-18,0,4,,,,,
Canada,8,2003-03-19,0,2,,,,,
Germany,1,2003-03-19,0,0,,,,,
Hong Kong Special Administrative Region of China,150,2003-03-19,0,5,,,,,
Singapore,31,2003-03-19,0,0,,,,,
Slovenia,1,2003-03-19,0,0,,,,,
Spain,1,2003-03-19,0,0,,,,,
"Taiwan, China",3,2003-03-19,0,0,,,,,
Thailand,1,2003-03-19,0,0,,,,,
United Kingdom,1,2003-03-19,0,0,,,,,
United States,11,2003-03-19,0,0,,,,,
Viet Nam,56,2003-03-19,0,2,,,,,
Total,264,2003-03-19,0,9,,,,,
Canada,9,2003-03-20,0,2,,,,,
Germany,1,2003-03-20,0,0,,,,,
Hong Kong Special Administrative Region of China,173,2003-03-20,0,6,,,,,
Singapore,34,2003-03-20,0,0,,,,,
Slovenia,1,2003-03-20,0,0,,,,,
Spain,1,2003-03-20,0,0,,,,,
Switzerland,7,2003-03-20,0,0,,,,,
"Taiwan, China",4,2003-03-20,0,0,,,,,
Thailand,1,2003-03-20,0,0,,,,,
United Kingdom,2,2003-03-20,0,0,,,,,
United States,11,2003-03-20,0,0,,,,,
Viet Nam,62,2003-03-20,0,2,,,,,
Total,306,2003-03-20,0,10,,,,,
Canada,9,2003-03-21,0,2,,,,,
Germany,1,2003-03-21,0,0,,,,,
Hong Kong Special Administrative Region of China,203,2003-03-21,0,6,,,,,
Italy,1,2003-03-21,0,0,,,,,
Republic of Ireland,1,2003-03-21,0,0,,,,,
Singapore,39,2003-03-21,0,0,,,,,
